	CL2001032010AA	Call	p-value	CL2001032041AA	Call	p-value
36637_at	1147.74	P	0	1999.54	P	0
36638_at	2165.16	P	0	3748.6	P	0
36639_at	367.32	P	0	367.47	P	0
36640_at	244.73	A	0.44	176.1	A	0.38
36641_at	1210.65	P	0	1416.47	P	0
36642_at	91.64	A	0.58	400.69	A	0.25
36643_at	966.26	P	0.01	792.58	P	0.01
36644_at	2917.19	P	0	2962.5	P	0
36645_at	1193.89	P	0	1465.34	P	0
36646_at	8.5	A	0.82	10.49	A	0.91
36647_at	227.74	P	0	373.26	P	0
36648_at	201.39	P	0.03	226.96	P	0
36649_at	142.31	A	0.08	111.65	A	0.15
36650_at	609.42	P	0.01	1043.29	P	0
36651_at	786.22	P	0.02	540.3	M	0.04
36652_at	257	A	0.54	481.91	A	0.36
36653_g_at	652.17	P	0.02	390.45	P	0.04
36654_s_at	2111.18	P	0	3113.03	P	0
36655_at	169.76	P	0	195.58	P	0.01
36656_at	13.89	A	0.78	24.37	A	0.54
36657_at	682.94	A	0.27	494.21	A	0.1
36658_at	2192.2	P	0	2965.5	P	0
36659_at	10795.99	P	0	7063.31	P	0
36660_at	534.2	P	0	509.78	P	0
36661_s_at	6471.46	P	0	3017.81	P	0
36662_at	193.37	A	0.32	45.62	A	0.52
36663_at	322.16	A	0.2	288.03	A	0.15
36664_at	297.83	A	0.18	483.96	A	0.08
36665_at	53.45	A	0.72	56.66	A	0.52
36666_at	8770.63	P	0	8824.62	P	0
36667_at	983.63	P	0.01	1580.11	P	0
36668_at	4036.08	P	0	5146.68	P	0
36669_at	1677.09	P	0.01	10276.93	P	0
36670_at	715.85	A	0.07	655.32	A	0.08
36671_at	209.61	A	0.13	118.7	A	0.23
36672_at	1523.72	P	0	1072.33	P	0.01
36673_at	407.72	P	0.01	262.69	A	0.06
36674_at	625.35	P	0.01	784.24	P	0
36675_r_at	8920.29	P	0	5081.77	P	0
36676_at	2007.13	P	0	1150.98	P	0
36677_at	599.79	P	0	442.04	P	0
36678_at	8118.94	P	0	9167.92	P	0
36679_at	285.18	A	0.08	347.71	A	0.13
36680_at	362.9	P	0.01	423.56	P	0.02
36681_at	254.72	A	0.54	340.81	A	0.28
36682_at	85.25	A	0.18	31.79	A	0.27
36683_at	254.29	P	0	532.31	P	0
36684_at	372.38	P	0	303.07	P	0
36685_at	279.56	P	0	506.24	P	0.01
36686_at	191.29	P	0.02	369.11	P	0
36687_at	646.27	P	0	567.89	P	0
36688_at	672.54	P	0	618.74	P	0
36689_at	46.56	A	0.62	126.97	A	0.12
36690_at	406.96	A	0.13	640.79	P	0.01
36691_at	33.88	A	0.88	40.63	A	0.72
36692_at	211.25	A	0.06	113.25	A	0.13
36693_at	16.54	A	0.82	23.96	A	0.73
36694_at	206	P	0.02	153.64	P	0.04
36695_at	19.43	A	0.68	218.05	P	0.03
36696_at	519.12	M	0.05	477.49	A	0.11
36697_g_at	37.21	A	0.78	37.17	A	0.75
36698_at	156.64	A	0.2	131.22	A	0.25
36699_at	33.8	A	0.86	19.03	A	0.87
367_at	145.16	A	0.22	28.45	A	0.7
36700_at	204.04	A	0.19	89.14	A	0.11
36701_at	65.77	A	0.4	12.87	A	0.84
36702_at	1186.66	P	0.01	1510.39	P	0.01
36703_at	429.11	A	0.12	305.43	A	0.16
36704_at	32.9	A	0.75	21.33	A	0.86
36705_at	57.06	A	0.5	113.71	P	0.02
36706_at	165.56	A	0.44	424.37	A	0.2
36707_s_at	210.4	A	0.06	281.6	A	0.07
36708_at	220.02	M	0.05	213.96	A	0.08
36709_at	1590.48	P	0.02	1214.46	P	0.01
36710_at	627.3	A	0.12	343.87	A	0.25
36711_at	834.89	P	0	2283.19	P	0
36712_at	205.86	P	0.01	62.21	A	0.25
36713_at	259.62	M	0.05	229.02	A	0.07
36714_at	91.1	A	0.54	16.18	A	0.88
36715_at	47.54	A	0.98	26.87	A	0.97
36716_at	141.15	A	0.19	150.63	M	0.04
36717_at	224.77	A	0.13	21.71	A	0.56
36718_s_at	27.16	A	0.93	13.92	A	0.96
36719_r_at	76.18	A	0.23	43.95	A	0.44
36720_at	292.69	A	0.32	341.06	A	0.32
36721_s_at	59.19	A	0.9	48.63	A	0.93
36722_s_at	44.16	A	0.85	18.77	A	0.92
36723_at	8.08	A	1	3.84	A	1
36724_s_at	59.63	A	0.81	21.26	A	0.81
36725_at	8.52	A	1	7.51	A	1
36726_at	117.2	A	0.46	42.46	A	0.77
36727_at	234	A	0.13	273.95	M	0.04
36728_at	135.79	A	0.7	112.1	A	0.6
36729_g_at	400.36	A	0.25	285.44	A	0.3
36730_at	65.34	A	0.78	66.07	A	0.73
36731_g_at	399.73	A	0.08	554.49	A	0.08
36732_at	381.89	A	0.46	510.64	A	0.19
36733_at	184.05	A	0.28	184.13	A	0.15
36734_at	546.31	A	0.4	856.61	A	0.19
36735_f_at	205.52	A	0.25	114.01	A	0.66
36736_f_at	54.2	A	0.4	9.29	A	0.87
36737_at	581.6	A	0.07	689.5	A	0.1
36738_at	100.97	A	0.6	24.39	A	0.75
36739_at	90.42	A	0.27	113.83	A	0.06
36740_at	48.23	A	0.93	33.47	A	0.78
36741_at	254.27	P	0.02	161.64	A	0.12
36742_at	257.65	A	0.13	66.32	A	0.36
36743_at	88.13	A	0.82	84.32	A	0.72
36744_at	57.27	A	0.32	80.22	A	0.12
36745_at	871.56	A	0.2	121.39	A	0.52
36746_s_at	53.8	A	0.54	25.2	A	0.78
36747_at	987.07	A	0.2	847.81	A	0.16
36748_at	18.07	A	0.91	25.53	A	0.62
36749_at	172.64	A	0.12	1407.14	P	0
36750_at	31.83	A	0.7	75.3	A	0.07
36751_at	51.53	A	0.7	79.28	A	0.58
36752_at	30.24	A	0.9	18.18	A	0.86
36753_at	1225.68	P	0	393.5	P	0.01
36754_at	188.12	A	0.12	380.32	P	0.01
36755_s_at	110.9	A	0.25	156.9	A	0.16
36756_at	22.42	A	0.94	32.87	A	0.82
36757_at	11.74	A	0.99	11.76	A	0.96
36758_at	229.14	A	0.09	137.98	A	0.13
36759_at	169.03	M	0.04	151.78	A	0.13
36760_at	86.63	A	0.36	48.32	A	0.46
36761_at	224.15	A	0.27	74.84	A	0.42
36762_at	129.07	A	0.46	111.21	A	0.46
36763_at	107.8	A	0.8	68.15	A	0.66
36764_at	531.76	A	0.27	120.37	A	0.7
36765_at	914.79	P	0.01	842.64	A	0.07
36766_at	320.29	A	0.19	381.83	A	0.1
36767_at	16.33	A	0.93	38.3	A	0.88
36768_at	85.49	A	0.64	14.82	A	0.86
36769_at	82.83	A	0.56	53.13	A	0.58
36770_at	206.27	A	0.22	89.26	A	0.48
36771_at	64.34	A	0.73	57.64	A	0.5
36772_at	5.58	A	1	6.23	A	1
36773_f_at	7426.44	P	0	6477.2	P	0
36774_f_at	21.47	A	1	20.35	A	1
36775_f_at	19.81	A	0.99	28.53	A	1
36776_at	53.57	A	0.82	94.27	A	0.78
36777_at	32.3	A	0.54	36.86	A	0.52
36778_at	43.38	A	0.87	26.86	A	0.92
36779_at	304.85	A	0.12	212.47	M	0.04
36780_at	5832.4	P	0	10845.73	P	0
36781_at	7392.09	P	0	5391.06	P	0
36782_s_at	14.24	A	0.99	11.96	A	0.97
36783_f_at	239.02	P	0	225.96	P	0.01
36784_at	425.23	A	0.1	244.41	A	0.15
36785_at	7575.8	P	0	7522.45	P	0
36786_at	4429.82	P	0	3940.01	P	0
36787_at	84.24	A	0.81	79.16	A	0.6
36788_at	2.63	A	0.9	5.35	A	0.9
36789_f_at	392.49	A	0.15	143.92	A	0.22
36790_at	2844.09	P	0	3007.39	P	0
36791_g_at	1367.58	P	0	1317.17	P	0
36792_at	1426.51	P	0	1493.64	P	0
36793_at	175.12	A	0.23	41.75	A	0.77
36794_at	40.24	A	0.77	68.08	A	0.25
36795_at	20092.05	P	0	17518.12	P	0
36796_at	33.82	A	0.66	16.82	A	0.96
36797_at	56.46	A	0.5	8.41	A	0.93
36798_g_at	1311.16	A	0.06	1530.82	P	0.04
36799_at	535.27	A	0.15	242.73	A	0.19
368_at	237.24	A	0.18	176.96	A	0.18
36800_at	19.29	A	0.93	63.8	A	0.81
36801_at	27.11	A	0.93	8.05	A	0.96
36802_at	448.7	A	0.06	343.08	M	0.04
36803_at	65.29	A	0.56	101.77	A	0.46
36804_at	1877.67	P	0	585.67	P	0
36805_s_at	111.31	A	0.52	263.76	A	0.22
36806_at	293.06	A	0.3	87.91	A	0.64
36807_at	25.69	A	0.82	20.05	A	0.92
36808_at	298.32	A	0.06	179.59	A	0.2
36809_at	36.67	A	0.6	278.97	P	0.03
36810_at	110.69	M	0.05	118.16	P	0
36811_at	318.46	P	0.02	236.13	A	0.07
36812_at	43.21	A	0.34	36.31	A	0.36
36813_at	176.95	A	0.06	292.56	P	0.01
36814_at	601.95	P	0	887.78	P	0
36815_at	498.64	P	0	626.74	P	0
36816_s_at	27.05	A	0.73	98.59	A	0.44
36817_at	48.5	A	0.58	3.49	A	0.99
36818_at	317.72	P	0.02	425.87	P	0.02
36819_at	74.4	A	0.18	91.86	A	0.16
36820_r_at	56.72	A	0.16	68.19	P	0.02
36821_at	341.25	P	0	426	P	0
36822_at	1027.27	P	0	1264.15	P	0
36823_at	80.13	A	0.66	153.11	A	0.32
36824_at	6.76	A	0.92	4.49	A	0.99
36825_at	452.44	A	0.08	439.07	M	0.05
36826_at	1146.73	P	0.04	1150.01	P	0.01
36827_at	339.09	P	0	330.43	P	0
36828_at	300.31	A	0.23	177.31	A	0.4
36829_at	2487.22	P	0	3916.39	P	0
36830_at	55.89	A	0.77	30.21	A	0.8
36831_at	118.52	A	0.44	22.2	A	0.75
36832_at	36.41	A	0.81	135.05	A	0.38
36833_at	706.18	P	0.02	543.68	M	0.05
36834_at	701.34	P	0.03	797.57	P	0.01
36835_at	155.41	M	0.05	227.01	P	0
36836_at	122.32	A	0.6	46.04	A	0.84
36837_at	7.62	A	0.84	93.32	A	0.3
36838_at	336.52	A	0.06	34.66	A	0.52
36839_at	115.92	A	0.11	64.95	A	0.23
36840_at	998.38	P	0.02	1478.12	P	0.02
36841_at	582.89	A	0.25	93.93	A	0.44
36842_at	24.17	A	0.75	11.02	A	0.73
36843_at	616	A	0.16	454.33	A	0.11
36844_at	6.44	A	0.98	18.97	A	0.82
36845_at	1018.77	P	0	1171.42	P	0
36846_s_at	1108.99	P	0.01	562.05	P	0.01
36847_r_at	122.7	A	0.36	439.02	A	0.18
36848_r_at	103.88	A	0.81	220.67	A	0.58
36849_at	173.64	P	0	289.72	P	0.01
36850_at	122.38	A	0.54	17.02	A	0.6
36851_g_at	174.35	P	0.02	115.17	A	0.12
36852_at	263.86	P	0	149.73	A	0.07
36853_at	53.3	A	0.7	16.55	A	0.85
36854_s_at	20.98	A	0.92	34.4	A	0.92
36855_r_at	32.61	A	0.97	35.37	A	0.9
36856_at	438.98	A	0.07	667.36	A	0.09
36857_at	126.21	P	0.04	120.71	A	0.19
36858_at	205.51	P	0	178.12	A	0.06
36859_at	317.99	A	0.07	194.06	A	0.27
36860_at	173.62	A	0.06	160.45	P	0
36861_at	1284.11	P	0	1392.68	P	0
36862_at	1340.73	A	0.07	1176.93	M	0.05
36863_at	51.49	A	0.52	136.56	A	0.44
36864_at	239.21	P	0.03	168.73	P	0.02
36865_at	282.69	A	0.28	200.63	A	0.27
36866_at	11.8	A	0.66	47.34	A	0.5
36867_at	153.89	A	0.22	259.25	P	0.04
36868_at	7.22	A	0.96	28.29	A	0.77
36869_at	30.91	A	0.77	74.04	A	0.56
36870_at	394.07	P	0.02	376.35	P	0.01
36871_at	52.31	A	0.84	36.72	A	0.78
36872_at	252.5	P	0.01	87.64	A	0.14
36873_at	76.21	A	0.36	169.24	P	0.02
36874_at	107.91	A	0.46	153.7	A	0.23
36875_at	106.36	A	0.11	92.15	A	0.06
36876_at	134.4	A	0.44	109.62	A	0.54
36877_at	116.22	A	0.4	88.56	A	0.6
36878_f_at	6547.06	P	0	4680.48	P	0
36879_at	1810.25	P	0	1465.95	P	0
36880_at	441.25	A	0.08	486.74	A	0.09
36881_at	799.97	P	0.02	706.61	M	0.05
36882_at	43.64	A	0.88	31.8	A	0.96
36883_at	692.64	A	0.32	1121.4	P	0.03
36884_at	271.99	P	0.02	297.72	M	0.04
36885_at	601.98	P	0.01	1020.52	P	0.01
36886_f_at	344.75	A	0.07	267.83	A	0.15
36887_f_at	396.39	A	0.08	60.19	A	0.44
36888_at	980.18	P	0.01	1514.61	P	0.01
36889_at	2757.78	P	0	1550.14	P	0
36890_at	1053.28	P	0.02	1227.39	P	0.01
36891_at	246.22	A	0.52	406.37	A	0.32
36892_at	435.55	A	0.1	1162.08	P	0
36893_at	15.74	A	0.98	8.53	A	1
36894_at	754.89	P	0.01	1211.27	P	0
36895_at	77.75	A	0.32	56.19	A	0.58
36896_s_at	122.3	A	0.68	123.6	A	0.36
36897_at	217.51	P	0.04	118.67	A	0.16
36898_r_at	142.31	P	0.01	207.44	P	0.01
36899_at	707.22	P	0	845.27	P	0
369_s_at	106.47	A	0.58	61.92	A	0.84
36900_at	464.38	P	0	747.1	P	0.01
36901_at	116.44	M	0.05	34.19	A	0.44
36902_at	1937.46	P	0.02	1629.03	P	0.01
36903_at	61.26	A	0.52	8.8	A	0.97
36904_at	33.05	A	0.99	39.27	A	0.96
36905_at	372.5	A	0.14	470.48	P	0.02
36906_at	83.89	A	0.5	69.67	A	0.52
36907_at	2046.97	P	0.02	2364.15	P	0.01
36908_at	2521.99	P	0	2626.38	P	0
36909_at	180.05	P	0	212.2	P	0
36910_at	36.24	A	0.56	220.11	A	0.12
36911_at	116.58	A	0.16	91.24	A	0.4
36912_at	52.8	A	0.7	120.08	A	0.44
36913_at	217.95	P	0	130.9	A	0.08
36914_at	78.59	A	0.64	64.58	A	0.4
36915_at	693.06	P	0.01	1212.85	P	0.01
36916_at	900.46	A	0.23	705.42	A	0.18
36917_at	590.93	P	0	407.31	P	0
36918_at	364.02	P	0	450	P	0
36919_r_at	140.46	A	0.5	140.73	A	0.5
36920_at	82.41	A	0.52	69.64	A	0.44
36921_at	718.95	P	0	584.53	P	0
36922_at	104.81	A	0.44	25.78	A	0.8
36923_at	172.7	A	0.73	410.61	A	0.58
36924_r_at	81.42	A	0.56	24.99	A	0.58
36925_at	314.26	M	0.04	213.29	P	0.01
36926_at	285.97	P	0	288.6	P	0.01
36927_at	704.16	P	0	987	P	0
36928_at	1460.17	P	0	1487.39	P	0
36929_at	741.19	P	0.02	317.65	A	0.13
36930_at	340.31	P	0.01	386	P	0.01
36931_at	12382.32	P	0	14239.31	P	0
36932_at	243.83	A	0.14	295.82	A	0.1
36933_at	1409.58	P	0	3893.84	P	0
36934_at	135.17	A	0.25	119.34	A	0.32
36935_at	769.08	P	0	776.93	P	0
36936_at	798.31	P	0.01	535.79	P	0.01
36937_s_at	3027.63	P	0	2688.63	P	0
36938_at	8603.07	P	0	9543.56	P	0
36939_at	140.82	A	0.07	119.78	M	0.04
36940_at	575.66	P	0	458.07	P	0
36941_at	40.18	A	0.58	22.05	A	0.72
36942_at	1077.07	P	0	1796.05	P	0
36943_r_at	385.17	P	0	470.37	P	0
36944_f_at	185.02	A	0.13	359.79	P	0.02
36945_at	2093.87	P	0	2992.15	P	0
36946_at	483.43	P	0	869.56	P	0
36947_s_at	115.85	A	0.32	22.5	A	0.72
36948_at	474.58	P	0.01	768.06	P	0
36949_at	1730.92	P	0	1742.41	P	0
36950_at	1717.58	P	0	2414.66	P	0
36951_at	962.37	A	0.15	722.19	A	0.11
36952_at	1669.7	P	0.01	1651.13	P	0
36953_at	583.75	P	0	328.59	P	0.01
36954_at	178.04	A	0.42	366.16	A	0.18
36955_at	584.78	A	0.36	424.16	A	0.34
36956_at	395.48	P	0.02	355.22	A	0.11
36957_at	188.54	P	0.01	194.4	P	0.01
36958_at	3652.12	P	0	4251.87	P	0
36959_at	1608.34	P	0.01	2082.73	P	0
36960_at	904.55	P	0	1008.63	P	0
36961_at	213.67	A	0.23	374.68	A	0.1
36962_at	1184.79	P	0	1503.02	P	0
36963_at	2399.89	P	0	2570.27	P	0
36964_at	469.73	P	0	610.62	P	0.02
36965_at	363.14	P	0	448.53	P	0
36966_at	15.13	A	0.52	79.02	A	0.19
36967_g_at	117.66	A	0.42	116.79	A	0.36
36968_s_at	328.53	P	0.03	361	P	0.01
36970_at	407.94	P	0.01	359	P	0.01
36971_at	672.15	P	0	564.94	M	0.05
36972_at	2586.87	P	0	4113.46	P	0
36973_at	1599.4	P	0.01	1896.6	P	0.01
36974_at	126.49	P	0.02	116.39	P	0.01
36975_at	1342.3	P	0	1541.76	P	0
36976_at	554.43	P	0	867.99	P	0
36977_at	1276	M	0.04	1365.87	A	0.06
36978_at	203.6	P	0.01	237.85	P	0
36979_at	1866.4	P	0	7330.59	P	0
36980_at	138.33	P	0	205.35	P	0
36981_at	1964.95	P	0	1509.36	P	0
36982_at	423.47	P	0	510.99	P	0
36983_f_at	83.7	A	0.73	377.28	A	0.3
36984_f_at	472.24	P	0.02	1144.63	P	0
36985_at	827	P	0.03	1277.39	P	0.01
36986_at	3169.98	P	0	5216.68	P	0
36987_at	1051.92	A	0.07	688.94	A	0.11
36988_at	947.09	P	0	577.68	P	0
36989_at	648.04	P	0	444.51	P	0
36990_at	63.31	A	0.84	26.38	A	0.98
36991_at	1192.84	P	0	2324.63	P	0
36992_at	1989.57	P	0	1208.34	P	0
36993_at	1122.62	A	0.07	2075.7	P	0
36994_at	6291.27	P	0	4139.89	P	0
36995_at	53.61	A	0.95	59.92	A	0.86
36996_at	4458.17	P	0	5278.67	P	0
36997_at	345.94	A	0.18	176.47	A	0.42
36998_s_at	786.88	P	0	1101.35	P	0.01
36999_at	121.72	A	0.77	58.19	A	0.58
370_at	291.55	A	0.07	159.12	A	0.28
37000_at	665.61	P	0.03	926.21	P	0.02
37001_at	2048.5	P	0	1663.26	P	0
37002_at	1894.18	P	0	1819.43	P	0
37003_at	4396.23	P	0	4430.54	P	0
37004_at	23047.94	P	0	23328.99	P	0
37005_at	3925.58	P	0	8122.63	P	0
37006_at	1545.14	P	0	2683.49	P	0
37007_at	356.09	P	0	477.75	P	0
37008_r_at	11.09	A	0.96	14.86	A	0.97
37009_at	1254.32	P	0	1339.53	P	0
37010_at	629.57	P	0	694.03	P	0
37011_at	1332.38	P	0	623.54	P	0
37012_at	4344.79	P	0	6290.91	P	0
37013_at	1374.88	P	0.01	714.46	P	0.04
37014_at	1329.36	P	0	626.82	P	0
37015_at	640.35	P	0	1281.75	P	0
37016_at	936.96	A	0.06	951.23	P	0.03
37017_at	284.34	A	0.09	491.46	P	0.01
37018_at	67.13	A	0.6	25.14	A	0.64
37019_at	22.37	A	0.85	10.64	A	0.96
37020_at	10.97	A	0.97	13.5	A	0.98
37021_at	6479.82	P	0	8707.45	P	0
37022_at	1339.42	M	0.05	2038.61	P	0.01
37023_at	1703.4	P	0	2139.6	P	0
37024_at	5347.62	P	0	3223.79	P	0
37025_at	4970.17	P	0	4146.88	P	0
37026_at	3541.34	P	0	6121.65	P	0
37027_at	6872.08	P	0	9749.17	P	0
37028_at	1634.29	P	0	2142.18	P	0
37029_at	1234.87	P	0	1805.53	P	0
37030_at	114.16	A	0.08	97.07	A	0.08
37031_at	734.23	P	0	1117.32	P	0.01
37032_at	3012.15	P	0	4432.42	P	0
37033_s_at	6517.86	P	0	4574.1	P	0
37034_at	1035.27	P	0	790.56	P	0
37035_at	1136.58	P	0	1601.07	P	0
37036_at	184.04	P	0.02	143.81	A	0.2
37037_at	378.69	P	0.03	520.19	P	0.01
37038_at	272.67	P	0	321.01	P	0
37039_at	49422.91	P	0	32896.82	P	0
37040_at	2919.47	P	0	3962.44	P	0
37041_at	24.77	A	0.93	45.55	A	0.82
37042_at	5653.05	P	0.01	2816.9	P	0.01
37043_at	4913.35	P	0	4995.32	P	0
37044_at	304.65	A	0.06	212.6	P	0.03
37045_at	204.08	A	0.19	290.27	A	0.16
37046_at	390.44	P	0.01	197.28	P	0.02
37047_at	693.27	P	0	519.15	P	0
37048_at	808.69	A	0.2	794.76	A	0.32
37049_g_at	1264.82	A	0.09	1872.02	A	0.11
37050_r_at	110.29	M	0.05	320.14	P	0
37051_at	124.84	A	0.11	84.69	A	0.3
37052_at	37.02	A	0.56	69.17	A	0.52
37053_at	250.82	P	0.04	240.13	M	0.04
37054_at	101.65	A	0.15	4.7	A	0.66
37055_at	60.81	A	0.52	15	A	0.75
37056_at	216.72	A	0.38	57.47	A	0.48
37057_s_at	87.73	A	0.6	45.38	A	0.66
37058_at	3.83	A	0.97	4.64	A	0.99
37059_at	61.79	A	0.95	27.32	A	0.95
37060_at	80.57	A	0.22	75.81	A	0.12
37061_at	1343.91	P	0	405.36	P	0.03
37062_at	26.45	A	0.7	21.74	A	0.75
37063_r_at	4.61	A	0.98	2.3	A	0.98
37064_at	93.63	A	0.36	105.77	A	0.28
37065_f_at	155.59	A	0.28	20.35	A	0.73
37066_at	37.77	A	0.96	19.31	A	0.99
37067_at	142.94	A	0.14	83.13	A	0.15
37068_at	165.51	P	0	181.59	P	0.04
37069_at	34.54	A	0.82	27.57	A	0.75
37070_at	252.95	A	0.1	206.91	A	0.25
37071_at	205.83	A	0.42	55.13	A	0.75
37072_at	47.25	A	0.98	52.05	A	0.98
37073_at	55.74	A	0.44	109.66	A	0.23
37074_at	28.35	A	0.5	30.43	A	0.62
37075_at	40.06	A	0.85	123.16	A	0.48
37076_at	165.83	A	0.58	39.66	A	0.9
37077_at	292.05	A	0.38	235.2	A	0.25
37078_at	340.8	P	0	315.27	P	0.01
37079_at	88.26	A	0.25	13.73	A	0.52
37080_at	102.2	A	0.6	54.73	A	0.44
37081_at	157.76	A	0.3	53.34	A	0.66
37082_at	194.52	A	0.18	25.59	A	0.56
37083_s_at	7.1	A	0.85	3.6	A	0.9
37084_at	76.54	A	0.56	353.27	A	0.56
37085_g_at	257.67	A	0.27	583.92	A	0.19
37086_at	64.48	A	0.77	120.52	A	0.4
37087_at	12.7	A	0.99	23.21	A	0.93
37088_at	293.66	A	0.46	376.68	A	0.44
37089_at	27.85	A	0.96	51.35	A	0.8
37090_at	15.75	A	0.8	14.34	A	0.86
37091_g_at	3.79	A	1	6.09	A	0.99
37092_at	62.02	A	0.52	134.46	A	0.38
37093_at	90.4	A	0.56	14.03	A	0.84
37094_at	255.03	A	0.14	164.08	A	0.32
37095_r_at	724.52	P	0.01	458.05	P	0.01
37096_at	46.83	A	0.84	56.13	A	0.66
37097_at	227.64	A	0.07	204.07	A	0.07
37098_at	354.3	A	0.22	450.54	A	0.18
37099_at	1324.03	P	0	2812.59	P	0
371_at	1635.22	A	0.08	1206.63	A	0.07
37100_at	804.66	P	0.02	588.17	P	0.04
37101_at	595.51	P	0.03	503.87	P	0.01
37102_at	94.99	A	0.73	340.11	A	0.46
37103_at	18.52	A	0.62	37.32	A	0.46
37104_at	342.44	P	0.04	300.43	P	0.02
37105_at	343.12	A	0.08	590.42	P	0.02
37106_at	120.6	A	0.28	98.47	A	0.19
37107_at	338.2	P	0	266.07	P	0
37108_at	22.73	A	0.75	13.59	A	0.93
37109_at	37.94	A	0.48	16.72	A	0.73
37110_at	12.69	A	0.91	26.16	A	0.7
37111_g_at	455.27	P	0.01	198.31	P	0.02
37112_at	170.03	P	0.01	98.24	A	0.09
37113_at	80.61	A	0.81	85.39	A	0.77
37114_at	1093.22	P	0.03	1193.18	P	0.02
37115_at	94.31	A	0.23	57.08	A	0.77
37116_at	94.32	A	0.54	59.71	A	0.58
37117_at	242.23	A	0.23	290.55	A	0.32
37118_at	10.14	A	0.99	7.04	A	0.97
37119_at	176.36	A	0.2	118.35	A	0.46
37120_at	68.08	A	0.44	31.68	A	0.97
37121_at	1327.64	A	0.09	1182.87	A	0.13
37122_at	293.64	A	0.07	322.61	A	0.12
37123_at	49.6	A	0.77	42.89	A	0.66
37124_i_at	97.57	A	0.22	38.04	A	0.56
37125_f_at	30.83	A	0.48	36.37	A	0.89
37126_at	447.51	P	0	362.71	A	0.14
37127_at	146.24	A	0.42	257.1	A	0.08
37128_at	82.68	A	0.44	131.9	A	0.12
37129_at	385.77	A	0.08	426.2	A	0.08
37130_g_at	263.19	A	0.09	360.04	A	0.07
37131_at	41.55	A	0.81	25.68	A	0.89
37132_at	127.44	A	0.25	20.33	A	0.52
37133_at	84.63	A	0.58	367.7	A	0.11
37134_f_at	176.47	A	0.64	351.08	A	0.3
37135_f_at	186.6	A	0.5	283.36	A	0.32
37136_at	348.99	A	0.42	133	A	0.42
37137_at	774.59	P	0	199.03	P	0.02
37138_at	94.28	A	0.88	109.35	A	0.85
37139_at	321.24	A	0.13	290.66	A	0.3
37140_s_at	217.23	A	0.4	1256.91	A	0.16
37141_at	10.14	A	0.58	39.28	A	0.6
37142_at	37.74	A	0.77	12.1	A	0.93
37143_s_at	79.38	A	0.62	20.25	A	0.86
37144_at	95.25	A	0.46	177.35	A	0.1
37145_at	920.93	P	0.04	427.54	A	0.13
37146_at	283.82	A	0.48	540.36	A	0.11
37147_at	919.19	P	0	929.68	P	0
37148_at	2248.29	P	0	1732.53	P	0
37149_s_at	89.53	A	0.64	646.07	A	0.1
37150_at	161.31	P	0	159.98	P	0
37151_at	388.12	A	0.19	412.58	A	0.11
37152_at	606.45	A	0.44	568.9	A	0.22
37153_at	423.76	A	0.2	406.66	A	0.12
37154_at	603.01	P	0	471.42	P	0
37155_at	312.34	A	0.34	113.9	A	0.6
37156_at	227.41	P	0.02	411.7	P	0
37157_at	190.68	A	0.07	546.58	P	0
37158_at	100.22	A	0.93	80.84	A	0.99
37159_at	469.17	A	0.18	523.48	A	0.08
37160_at	38.67	A	0.52	11.51	A	0.94
37161_at	126.73	P	0.01	90.39	A	0.11
37162_at	234.99	A	0.06	118.85	A	0.28
37163_at	247.53	A	0.52	103.71	A	0.58
37164_at	36.64	A	0.72	23.9	A	0.77
37165_f_at	137.53	A	0.68	174.63	A	0.7
37166_at	1152.45	A	0.14	1550.01	A	0.1
37167_at	40.96	A	0.92	27.59	A	0.93
37168_at	2918.1	P	0	2702.01	P	0
37169_at	46.29	A	0.58	23.49	A	0.68
37170_at	213.14	M	0.05	202.2	P	0
37171_at	14.17	A	0.93	4.89	A	0.98
37172_at	177.15	P	0.02	234.32	P	0.03
37173_at	80.38	A	0.54	15.32	A	0.93
37174_at	151.74	A	0.07	45.24	A	0.54
37175_at	25.88	A	0.99	21.01	A	0.99
37176_at	677.58	P	0.02	801.29	P	0.01
37177_at	250.5	P	0	170.42	A	0.06
37178_at	341.28	P	0.01	1003.43	P	0.01
37179_at	46.53	A	0.58	31.54	A	0.62
37180_at	392.42	A	0.15	414.67	A	0.07
37181_at	1009.53	P	0	1222.77	P	0
37182_at	46.36	A	0.5	104.38	A	0.38
37183_at	26.85	A	0.46	65.45	A	0.38
37184_at	355.36	A	0.46	648	A	0.48
37185_at	175.5	P	0.01	251.83	A	0.18
37186_s_at	192.11	A	0.4	334	A	0.09
37187_at	1673.56	P	0	2963.67	P	0
37188_at	447.69	A	0.09	258.98	A	0.27
37189_at	1022.07	P	0.03	1351.65	P	0
37190_at	52.85	A	0.44	10.63	A	0.68
37191_at	697.18	A	0.36	1559.29	A	0.07
37192_at	815.77	A	0.07	1038.05	P	0.02
37193_at	79.56	A	0.44	148.1	A	0.34
37194_at	696.45	P	0	657.05	P	0
37195_at	465.81	A	0.08	786.99	P	0.02
37196_at	1208.2	P	0	751.31	P	0
37197_s_at	164.77	A	0.07	125.12	A	0.1
37198_r_at	125.67	A	0.3	13.48	A	0.78
37199_at	299.8	P	0.01	512.09	P	0.02
372_f_at	352.85	A	0.36	544.07	A	0.18
37200_at	4650.56	P	0	1962.86	P	0
